club,clubLabel,venue,venueLabel,longitude,latitude,capacity
http://www.wikidata.org/entity/Q247731,Kaizer Chiefs F.C.,http://www.wikidata.org/entity/Q163521,Soccer City Stadium,27.98237800,-26.23480600,94736
http://www.wikidata.org/entity/Q73965,Al Hilal SFC,http://www.wikidata.org/entity/Q763077,King Fahd Sports City,46.83923600,24.78820600,92000
http://www.wikidata.org/entity/Q2636005,Al-Shabab Football Club,http://www.wikidata.org/entity/Q763077,King Fahd Sports City,46.83923600,24.78820600,92000
http://www.wikidata.org/entity/Q30116017,Pharco FC,http://www.wikidata.org/entity/Q557578,Borg El Arab Stadium,29.72930000,30.99940000,86000
http://www.wikidata.org/entity/Q15799,Club Atlético River Plate,http://www.wikidata.org/entity/Q276354,Mas Monumental Stadium,-58.44972222,-34.54527778,84567
http://www.wikidata.org/entity/Q242260,Persepolis F.C.,http://www.wikidata.org/entity/Q653535,Azadi Stadium,51.27552800,35.72441700,84412
http://www.wikidata.org/entity/Q455971,Esteghlal F.C.,http://www.wikidata.org/entity/Q653535,Azadi Stadium,51.27552800,35.72441700,84412
http://www.wikidata.org/entity/Q5437483,Fath Tehran F.C.,http://www.wikidata.org/entity/Q653535,Azadi Stadium,51.27552800,35.72441700,84412
http://www.wikidata.org/entity/Q242260,Persepolis F.C.,http://www.wikidata.org/entity/Q653535,Azadi Stadium,51.27552800,35.72441700,84000
http://www.wikidata.org/entity/Q455971,Esteghlal F.C.,http://www.wikidata.org/entity/Q653535,Azadi Stadium,51.27552800,35.72441700,84000
http://www.wikidata.org/entity/Q5437483,Fath Tehran F.C.,http://www.wikidata.org/entity/Q653535,Azadi Stadium,51.27552800,35.72441700,84000
http://www.wikidata.org/entity/Q1143000,Club Universidad Nacional,http://www.wikidata.org/entity/Q767558,Universitary Olympic Stadium,-99.19210600,19.33192800,83954
http://www.wikidata.org/entity/Q6092798,Q6092798,http://www.wikidata.org/entity/Q767558,Universitary Olympic Stadium,-99.19210600,19.33192800,83954
http://www.wikidata.org/entity/Q30115946,Club Universidad Nacional (women),http://www.wikidata.org/entity/Q767558,Universitary Olympic Stadium,-99.19210600,19.33192800,83954
http://www.wikidata.org/entity/Q1143000,Club Universidad Nacional,http://www.wikidata.org/entity/Q767558,Universitary Olympic Stadium,-99.19210600,19.33192800,83700
http://www.wikidata.org/entity/Q6092798,Q6092798,http://www.wikidata.org/entity/Q767558,Universitary Olympic Stadium,-99.19210600,19.33192800,83700
http://www.wikidata.org/entity/Q30115946,Club Universidad Nacional (women),http://www.wikidata.org/entity/Q767558,Universitary Olympic Stadium,-99.19210600,19.33192800,83700
http://www.wikidata.org/entity/Q8682,Real Madrid CF,http://www.wikidata.org/entity/Q164027,Santiago Bernabéu Stadium,-3.68835000,40.45306000,83186
